,word,count
0,、,4849
1,の,2759
2,に,1905
3,て,1767
4,は,1393
5,た,1332
6,。,1176
7,を,1140
8,と,892
9,も,883
10,が,848
11,で,785
12,自分,758
13,し,637
14,な,451
15,「,423
16,」,423
17,まし,371
18,その,352
19,でし,313
20,い,297
21,から,295
22,ない,281
23,だ,281
24,か,279
25,それ,278
26,です,245
27,いる,241
28,事,234
29,よう,229
30,ん,220
31,いう,203
32,お,165
33,そう,164
34,もの,163
35,また,136
36,れ,132
37,何,118
38,ず,109
39,ませ,107
40,一,106
41,来,104
42,せ,98
43,堀木,96
44,たち,94
45,この,94
46,…,94
47,しかし,93
48,？,90
49,する,90
50,なっ,90
51,人間,86
52,子,84
53,ある,83
54,女,83
55,など,83
56,あり,82
57,さ,81
58,これ,81
59,られ,80
60,なり,80
61,人,78
62,顔,76
63,へ,75
64,ひと,74
65,無い,74
66,ば,71
67,だけ,71
68,ます,70
69,なく,69
70,時,67
71,ながら,67
72,あの,66
73,さえ,64
74,（,63
75,）,63
76,よ,62
77,言っ,61
78,気,59
79,いい,59
80,ほど,58
81,ね,58
82,どう,58
83,家,57
84,父,57
85,ぬ,56
86,ヒラメ,55
87,二,53
88,より,53
89,まで,52
90,なら,51
91,つ,50
92,あっ,49
93,けれど,49
94,出,49
95,ただ,48
96,いや,47
97,なる,47
98,見,46
99,酒,46
100,みたい,45
101,ばかり,45
102,中,45
103,ほう,45
104,ヨシ,45
105,くらい,44
106,もう,44
107,者,44
108,気持,43
109,たら,43
110,れる,42
111,たり,42
112,道化,42
113,知れ,41
114,私,40
115,言い,40
116,そんな,40
117,罪,40
118,三,39
119,なかっ,39
120,出来,39
121,や,39
122,ところ,38
123,ちゃん,37
124,思い,37
125,でしょう,37
126,言葉,36
127,やら,35
128,いま,35
129,たい,35
130,くれ,35
131,だっ,34
132,所謂,34
133,ため,34
134,実,34
135,男,33
136,頃,33
137,部屋,32
138,思っ,32
139,恐怖,32
140,お前,32
141,じゃ,31
142,彼,31
143,れい,31
144,お金,31
145,あなた,31
146,ひとり,30
147,［,28
148,＃,28
149,］,28
150,すぐ,28
151,こんな,28
152,って,28
153,世間,28
154,絵,28
155,竹一,27
156,心,27
157,生き,26
158,無く,26
159,だろう,26
160,考え,26
161,ど,25
162,学校,25
163,とっ,25
164,いつも,25
165,ツネ,25
166,やはり,24
167,こそ,24
168,行っ,24
169,夜,24
170,依っ,24
171,少し,23
172,わから,23
173,ほとんど,23
174,思わ,23
175,なけれ,23
176,本,23
177,！,23
178,シヅ子,23
179,どこ,22
180,いち,22
181,とにかく,22
182,眼,22
183,日,22
184,かえって,22
185,られる,22
186,写真,21
187,わけ,21
188,無かっ,21
189,笑い,21
190,いつ,21
191,知ら,21
192,神,21
193,二人,21
194,階,21
195,つまり,20
196,来る,20
197,しかも,20
198,つい,20
199,そこ,20
200,行き,20
201,東京,20
202,ここ,20
203,いっ,20
204,葉,19
205,子供,19
206,不安,19
207,やっ,19
208,飲ん,19
209,飲み,19
210,シゲ,19
211,アント,19
212,奥さん,19
213,十,18
214,へん,18
215,感じ,18
216,どんな,18
217,らしい,18
218,笑わ,18
219,おれ,18
220,いけ,18
221,持っ,18
222,或る,18
223,知っ,18
224,とても,18
225,故郷,18
226,こと,17
227,言う,17
228,笑っ,17
229,見る,17
230,たく,17
231,まるで,17
232,口,17
233,ああ,17
234,漫画,17
235,寝,17
236,全く,17
237,｜,17
238,言わ,17
239,金,17
240,違い,17
241,しまっ,17
242,声,17
243,わ,17
244,世の中,17
245,よく,16
246,せる,16
247,食べ,16
248,皆,16
249,年,16
250,つもり,16
251,らしく,16
252,間,15
253,たいてい,15
254,地獄,15
255,しまう,15
256,他,15
257,おそろしい,15
258,けど,15
259,うち,15
260,さん,15
261,五,15
262,・,15
263,不幸,15
264,アパート,15
265,マダム,15
266,大,14
267,度,14
268,小さい,14
269,全部,14
270,かけ,14
271,誰,14
272,用事,14
273,書い,14
